,0,1,2,3,4
0,0.0,4.0,0.56086,0.5481,0.5534
1,0.0,8.0,0.85528,0.8491,0.8528
2,10.0,4.0,0.4139,0.3878,0.4019
3,10.0,8.0,0.88708,0.8733,0.8858
